"✦  MASTER SUPPLIER DATABASE  |  CRM-READY  |  4,661 SUPPLIERS  |  DE-DUPLICATED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION A — SUPPLIER IDENTITY,,,,,,,,,SECTION B — CONTACT INFORMATION,,,,,,,,,,SECTION C — BUSINESS DETAILS,,,,,,,,,,,,,,,SECTION D — COMMERCIAL TERMS,,,,,,,SECTION E — CRM INTERNAL TRACKING,,,,,,,,,,,,
Supplier ID,Company Name,Country,City,Full Address,Website,Year First Added,Source Sheet,Current Status,Primary Contact Name,Designation,Email,Phone,WhatsApp,Legal Name,Secondary Contact Name,Secondary Email,Secondary Phone,Account Manager,Product Category,Products,Sub-category,Commodity Type,Annual Production Capacity,MOQ,Price Range,Currency,Export Markets,Certifications,Cert Body,Cert Status,Cert Expiry Date,Years in Business,Factory Type,Payment Terms,Incoterms,Lead Time,Port of Loading,Packaging Type,Private Label Available,Compliance Documents Available,Lead Source,Risk Score,Due Diligence Status,Last Contact Date,Follow-up Required,Follow-up Date,Internal Notes,Contract Signed,Contract Date,Latest Quotation,Performance Rating,Blacklisted,Notes
SUP-00001,"03/04/2024
Ruchita.",,,,,2023,22-23_Dried Fruits & Nuts,Active,,,,,,,,,,,Dried Fruits & Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00002,"04/04/2024
Ruchita",,,,,2023,22-23_Dried Fruits & Nuts,Active,,,,,,,,,,,Dried Fruits & Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00003,1- no website,,,,,2024,23-24_Sial Rice,Active,,,,,,,,,,,Sial Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00004,1000 Farms,India,,,www.1000farms.co.in,2025,NEW2025_Anuga - India  | Inactive_Suppliers,Active,,,info@1000farms.co.in,,,,,,,,Anuga - India,Coconut and Coconut products,,,,,,,,,,,,,,,,,,,,,,,,sent email for commisison,,,,,,,,,First contact: sent email for commisison | Unnamed: 64: 25.8.25 - intro email sent
SUP-00005,10.3.2025,,,,,2024,23-24_Cashew 25,Active,,,,,,,,,,,Cashew 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00006,135,,,,,2023,22-23_RICE,Active,,,,,,,,,,,RICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00007,14/03/2024,,,,https://www.wenders.com/,2023,22-23_CASHEW,Active,,,,,,,,,,,CASHEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00008,15/03/2024,,,,,2023,22-23_RICE,Active,,,,,,,,,,,RICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00009,16/03/2024,,,,,2023,22-23_CASHEW,Active,,,,,,,,,,,CASHEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00010,18/03/2024,,,,,2023,22-23_CASHEW  | 22-23_RICE,Active,,,,,,,,,,,CASHEW  | RICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00011,19/03/2024,,,,,2023,22-23_RICE,Active,,,,,,,,,,,RICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00012,192,,,,,2024,23-24_Rice list,Active,,,,,,,,,,,Rice list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00013,1to3 Foods Ltd.,India,,,LINK,2025,NEW2025_Snacks and Sweets Ex | NEW2025_Instant Noodles,Active,,,customercare@1to3foods.com,,,,,,,,Snacks and Sweets Expo in Dubai | Instant Noodles,Instant Noodles,,,,,,,,,,,,,,,,,,,,,,,,Intro mail sent on 29.9.25,,,,,,,,,First contact: Intro mail sent on 29.9.25 | First contact: 2025-09-29 00:00:00 | Follow Up 2: NaT
SUP-00014,2 - Trader,,,,,2024,23-24_Sial Rice,Active,,,,,,,,,,,Sial Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00015,2023,,,,,2023,22-23_Sugar | 22-23_Pecan Nuts  | 22-23_ONIONS  | 22-23_READY TO EAT NOODLES | 22-23_Canned fruits,Active,,,,,,,,,,,Sugar | Pecan Nuts  | ONIONS  | READY TO EAT NOODLES | Canned fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
